Step,AgentID,pos,cars_passing
83,23,"(10.0, 7.5)",22
83,24,"(10.0, 10.0)",9
84,0,"(0.0, 0.0)",8
84,1,"(0.0, 2.5)",25
84,2,"(0.0, 5.0)",80
84,3,"(0.0, 7.5)",12
84,4,"(0.0, 10.0)",6
84,5,"(2.5, 0.0)",26
84,6,"(2.5, 2.5)",135
84,7,"(2.5, 5.0)",153
84,8,"(2.5, 7.5)",113
84,9,"(2.5, 10.0)",24
84,10,"(5.0, 0.0)",84
84,11,"(5.0, 2.5)",156
84,12,"(5.0, 5.0)",187
84,13,"(5.0, 7.5)",149
84,14,"(5.0, 10.0)",76
84,15,"(7.5, 0.0)",19
84,16,"(7.5, 2.5)",128
84,17,"(7.5, 5.0)",145
84,18,"(7.5, 7.5)",126
84,19,"(7.5, 10.0)",27
84,20,"(10.0, 0.0)",4
84,21,"(10.0, 2.5)",19
84,22,"(10.0, 5.0)",74
84,23,"(10.0, 7.5)",24
84,24,"(10.0, 10.0)",7
85,0,"(0.0, 0.0)",9
85,1,"(0.0, 2.5)",23
85,2,"(0.0, 5.0)",84
85,3,"(0.0, 7.5)",11
85,4,"(0.0, 10.0)",5
85,5,"(2.5, 0.0)",22
85,6,"(2.5, 2.5)",118
85,7,"(2.5, 5.0)",135
85,8,"(2.5, 7.5)",108
85,9,"(2.5, 10.0)",17
85,10,"(5.0, 0.0)",86
85,11,"(5.0, 2.5)",151
85,12,"(5.0, 5.0)",184
85,13,"(5.0, 7.5)",130
85,14,"(5.0, 10.0)",78
85,15,"(7.5, 0.0)",18
85,16,"(7.5, 2.5)",116
85,17,"(7.5, 5.0)",148
85,18,"(7.5, 7.5)",131
85,19,"(7.5, 10.0)",22
85,20,"(10.0, 0.0)",6
85,21,"(10.0, 2.5)",14
85,22,"(10.0, 5.0)",81
85,23,"(10.0, 7.5)",19
85,24,"(10.0, 10.0)",6
86,0,"(0.0, 0.0)",8
86,1,"(0.0, 2.5)",21
86,2,"(0.0, 5.0)",88
86,3,"(0.0, 7.5)",8
86,4,"(0.0, 10.0)",4
86,5,"(2.5, 0.0)",19
86,6,"(2.5, 2.5)",117
86,7,"(2.5, 5.0)",134
86,8,"(2.5, 7.5)",115
86,9,"(2.5, 10.0)",17
86,10,"(5.0, 0.0)",88
86,11,"(5.0, 2.5)",140
86,12,"(5.0, 5.0)",182
86,13,"(5.0, 7.5)",129
86,14,"(5.0, 10.0)",83
86,15,"(7.5, 0.0)",19
86,16,"(7.5, 2.5)",114
86,17,"(7.5, 5.0)",136
86,18,"(7.5, 7.5)",129
86,19,"(7.5, 10.0)",17
86,20,"(10.0, 0.0)",7
86,21,"(10.0, 2.5)",13
86,22,"(10.0, 5.0)",77
86,23,"(10.0, 7.5)",16
86,24,"(10.0, 10.0)",6
87,0,"(0.0, 0.0)",2
87,1,"(0.0, 2.5)",12
87,2,"(0.0, 5.0)",93
87,3,"(0.0, 7.5)",6
87,4,"(0.0, 10.0)",3
87,5,"(2.5, 0.0)",9
87,6,"(2.5, 2.5)",110
87,7,"(2.5, 5.0)",137
87,8,"(2.5, 7.5)",109
87,9,"(2.5, 10.0)",13
87,10,"(5.0, 0.0)",94
87,11,"(5.0, 2.5)",150
87,12,"(5.0, 5.0)",181
87,13,"(5.0, 7.5)",126
87,14,"(5.0, 10.0)",82
87,15,"(7.5, 0.0)",17
87,16,"(7.5, 2.5)",108
87,17,"(7.5, 5.0)",130
87,18,"(7.5, 7.5)",123
87,19,"(7.5, 10.0)",12
